row,column,free_flow_time
1,2,350.412119712198
1,3,466.8735348202389
1,4,384.96106492520113
1,5,214.3814642016907
1,6,119.86470193538189
1,7,569.9494209647322
1,8,362.469987864686
1,9,745.0026380074167
1,10,548.5591283733565
1,11,709.4257293517862
1,12,799.8073848390694
1,13,749.2285739260935
1,14,888.7772866144737
1,15,633.4002789786323
2,1,350.412119712198
2,3,377.83526085772195
2,4,799.8711779235958
2,5,528.793499199964
2,6,314.76342087147555
2,7,735.1973417274965
2,8,362.0711747143987
2,9,655.9643640448999
2,10,469.5472922933562
2,11,841.3557868452173
2,12,883.4235087087235
2,13,660.1902999635768
2,14,799.739012651957
2,15,544.3620050161155
3,1,466.87353482023883
3,2,377.8352608577219
3,4,838.801342774098
3,5,503.1795358634046
3,6,342.7676167885302
3,7,626.2094586009002
3,8,253.08329158780245
3,9,295.1678150739631
3,10,360.55940916675996
3,11,732.367903718621
3,12,774.4356255821273
3,13,551.2024168369805
3,14,690.7511295253607
3,15,435.37412188951936
4,1,384.96106492520113
4,2,799.8711779235958
4,3,818.1590141472893
4,5,380.5747293216031
4,6,569.3237601467798
4,7,387.7044079223263
4,8,528.6632529845984
4,9,1010.7228177420612
4,10,543.0408566706004
4,11,527.1807163093804
4,12,617.5623717966636
4,13,835.8605941892095
4,14,1056.8907867593634
4,15,671.5543040821422
5,1,214.3814642016907
5,2,528.793499199964
5,3,444.6304938551944
5,4,380.57472932160306
5,6,220.3222514951696
5,7,207.52035551276987
5,8,155.1347326925034
5,9,703.7779973698889
5,10,362.85680426104386
5,11,346.99666389982394
5,12,437.378319387107
5,13,655.6765417796528
5,14,847.5526459769459
5,15,491.3702516725855
6,1,119.8647019353819
6,2,314.7634208714756
6,3,342.7676167885302
6,4,569.3237601467798
6,5,220.3222514951696
6,7,599.0224755195175
6,8,265.3540684796973
6,9,620.8967199757082
6,10,372.83018605865476
6,11,709.4541524114583
6,12,799.8358078987415
6,13,625.1226558943852
6,14,764.6713685827651
6,15,509.2943609469238
7,1,569.9494209647322
7,2,735.1973417274965
7,3,626.2094586009003
7,4,387.7044079223263
7,5,207.52035551276987
7,6,599.0224755195175
7,8,336.71369743820935
7,9,798.1309335688635
7,10,330.44897249740256
7,11,314.5888321361826
7,12,404.9704876234657
7,13,623.2687100160115
7,14,844.2989025861658
7,15,458.9624199089442
8,1,441.08301079439906
8,2,362.0711747143986
8,3,253.08329158780245
8,4,549.3055816114071
8,5,286.0501751225225
8,6,265.3540684796972
8,7,336.71369743820935
8,9,408.7977324211272
8,10,86.57611455746485
8,11,442.87214255593017
8,12,533.2537980432132
8,13,516.4567310211739
8,14,656.0054437095541
8,15,290.3135710659888
9,1,745.0026380074167
9,2,655.9643640448999
9,3,295.16781507396314
9,4,1010.7228177420611
9,5,762.327039378099
9,6,620.8967199757082
9,7,798.1309335688634
9,8,408.79773242112714
9,10,308.1948105821099
9,11,785.6025045337304
9,12,758.7452828445689
9,13,535.5120740994223
9,14,675.0607867878025
9,15,419.68377915196106
10,1,548.5591283733565
10,2,469.5472922933561
10,3,360.55940916676
10,4,543.0408566706003
10,5,362.85680426104386
10,6,372.83018605865476
10,7,330.44897249740256
10,8,86.57611455746485
10,9,308.1948105821099
10,11,362.299204498648
10,12,428.9378284287279
10,13,440.7596379694922
10,14,580.3083506578723
10,15,205.83378227402568
11,1,709.4257293517861
11,2,841.3557868452172
11,3,732.3679037186209
11,4,527.1807163093804
11,5,346.9966638998239
11,6,709.6614093476655
11,7,314.5888321361826
11,8,442.8721425559301
11,9,785.6025045337304
11,10,362.29920449864807
11,12,349.12195043378927
11,13,567.4201728263351
11,14,788.4503653964892
11,15,403.11388271926774
12,1,799.8073848390694
12,2,883.4235087087234
12,3,774.4356255821272
12,4,617.5623717966635
12,5,437.378319387107
12,6,800.0430648349486
12,7,404.9704876234657
12,8,533.2537980432132
12,9,758.7452828445689
12,10,428.937828428728
12,11,349.12195043378927
12,13,391.8230317310805
12,14,612.8532243012347
12,15,249.52791621300642
13,1,749.2285739260936
13,2,660.1902999635768
13,3,551.2024168369805
13,4,835.8605941892092
13,5,655.6765417796529
13,6,625.122655894385
13,7,623.2687100160115
13,8,516.4567310211739
13,9,535.5120740994223
13,10,440.7596379694922
13,11,567.420172826335
13,12,391.8230317310805
13,14,323.43614654035736
13,15,245.68626240862807
14,1,888.7772866144738
14,2,799.739012651957
14,3,690.7511295253607
14,4,1056.8907867593634
14,5,876.7067343498071
14,6,764.6713685827652
14,7,844.2989025861657
14,8,656.0054437095541
14,9,675.0607867878025
14,10,580.3083506578723
14,11,788.4503653964892
14,12,612.8532243012347
14,13,323.4361465403573
14,15,385.2349750970082
15,1,633.4002789786324
15,2,544.3620050161155
15,3,435.37412188951936
15,4,671.5543040821419
15,5,491.3702516725855
15,6,509.29436094692375
15,7,458.9624199089442
15,8,290.31357106598875
15,9,419.68377915196106
15,10,205.83378227402568
15,11,403.11388271926774
15,12,249.52791621300642
15,13,245.68626240862807
15,14,385.2349750970082
