link_id;demand_ab;demand_ba;demand_tot;Preload_AB;Preload_BA;Preload_tot;Congested_Time_AB;Congested_Time_BA;Congested_Time_Max;Delay_factor_AB;Delay_factor_BA;Delay_factor_Max;VOC_AB;VOC_BA;VOC_max;PCE_AB;PCE_BA;PCE_tot
1;318.0000000000004;1947.0000000000002;2265.0000000000005;0.0;0.0;0.0;1.973946652860991;1.973946652865243;1.973946652865243;1.0000000000000016;1.0000000000021556;1.0000000000021556;0.0003180000000000004;0.0019470000000000002;0.0019470000000000002;318.0000000000004;1947.0000000000002;2265.0000000000005
2;221.07199999999997;1211.0159999999998;1432.0879999999997;0.0;0.0;0.0;4.845259387824752;4.845259387826314;4.845259387826314;1.0000000000000004;1.0000000000003226;1.0000000000003226;0.00022107199999999997;0.0012110159999999999;0.0012110159999999999;221.07199999999997;1211.0159999999998;1432.0879999999997
3;3188.984000000001;743.9280000000006;3932.912000000001;0.0;0.0;0.0;4.385758832920723;4.385758832852887;4.385758832920723;1.0000000000155131;1.000000000000046;1.0000000000155131;0.003188984000000001;0.0007439280000000006;0.003188984000000001;3188.984000000001;743.9280000000006;3932.912000000001
4;958.0000000000007;145.00000000000009;1103.0000000000007;0.0;0.0;0.0;1.85056936594714;1.8505693659469062;1.85056936594714;1.0000000000001263;1.0;1.0000000000001263;0.0009580000000000007;0.00014500000000000008;0.0009580000000000007;958.0000000000007;145.00000000000009;1103.0000000000007
5;2873.9999999999986;254.99999999999997;3128.9999999999986;0.0;0.0;0.0;2.158383032769281;2.1583830327471936;2.158383032769281;1.0000000000102338;1.0000000000000007;1.0000000000102338;0.0028739999999999985;0.00025499999999999996;0.0028739999999999985;2873.9999999999986;254.99999999999997;3128.9999999999986
6;911.768;938.1520000000004;1849.9200000000005;0.0;0.0;0.0;5.173839659200672;5.173839659200736;5.173839659200736;1.0000000000001037;1.0000000000001161;1.0000000000001161;0.000911768;0.0009381520000000004;0.0009381520000000004;911.768;938.1520000000004;1849.9200000000005
7;0.0;0.0;0.0;0.0;0.0;0.0;4.959517254489041;4.959517254489041;4.959517254489041;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
8;3559.2320000000013;2046.8480000000006;5606.080000000002;0.0;0.0;0.0;5.2454393071562295;5.245439307043771;5.2454393071562295;1.0000000000240723;1.000000000002633;1.0000000000240723;0.003559232000000001;0.002046848000000001;0.003559232000000001;3559.2320000000013;2046.8480000000006;5606.080000000002
9;3021.46;910.000000000001;3931.460000000001;0.0;0.0;0.0;2.505390158193682;2.505390158162619;2.505390158193682;1.0000000000125013;1.0000000000001028;1.0000000000125013;0.00302146;0.000910000000000001;0.00302146;3021.46;910.000000000001;3931.460000000001
10;627.5400000000003;0.0;627.5400000000003;0.0;0.0;0.0;2.9061780292107353;2.9061780292106674;2.9061780292107353;1.0000000000000233;1.0;1.0000000000000233;0.0006275400000000003;0.0;0.0006275400000000003;627.5400000000003;0.0;627.5400000000003
11;2498.000000000002;1328.1040000000007;3826.1040000000025;0.0;0.0;0.0;4.756756107890339;4.756756107864777;4.756756107890339;1.0000000000058407;1.0000000000004667;1.0000000000058407;0.002498000000000002;0.0013281040000000007;0.002498000000000002;2498.000000000002;1328.1040000000007;3826.1040000000025
12;3728.0000000000045;1346.8960000000004;5074.896000000005;0.0;0.0;0.0;3.5231045148561013;3.523104514755765;3.5231045148561013;1.000000000028973;1.0000000000004936;1.000000000028973;0.0037280000000000047;0.0013468960000000004;0.0037280000000000047;3728.0000000000045;1346.8960000000004;5074.896000000005
13;1069.3639999999991;4674.808000000003;5744.172000000002;0.0;0.0;0.0;3.146086583341185;3.1460865835659493;3.1460865835659493;1.000000000000196;1.0000000000716385;1.0000000000716385;0.001069363999999999;0.0046748080000000025;0.0046748080000000025;1069.3639999999991;4674.808000000003;5744.172000000002
14;3638.6360000000022;2548.1920000000005;6186.828000000003;0.0;0.0;0.0;3.0306184109724104;3.0306184109118925;3.0306184109724104;1.0000000000262934;1.0000000000063245;1.0000000000262934;0.0036386360000000024;0.0025481920000000003;0.0036386360000000024;3638.6360000000022;2548.1920000000005;6186.828000000003
15;380.0000000000002;13657.735999999997;14037.735999999997;0.0;0.0;0.0;1.5365590938016593;1.5365591018213038;1.5365591018213038;1.000000000000003;1.0000000052192262;1.0000000052192262;0.00038000000000000024;0.013657735999999997;0.013657735999999997;380.0000000000002;13657.735999999997;14037.735999999997
16;6595.167999999997;10155.748000000007;16750.916000000005;0.0;0.0;0.0;1.5767938828517207;1.5767938849202632;1.5767938849202632;1.0000000002837885;1.0000000015956547;1.0000000015956547;0.006595167999999997;0.010155748000000006;0.010155748000000006;6595.167999999997;10155.748000000007;16750.916000000005
17;4885.832;11218.515999999996;16104.347999999996;0.0;0.0;0.0;2.063599651400332;2.063599656126903;2.063599656126903;1.0000000000854763;1.000000002375926;1.000000002375926;0.0048858320000000005;0.011218515999999996;0.011218515999999996;4885.832;11218.515999999996;16104.347999999996
18;6101.571999999999;7808.016000000006;13909.588000000005;0.0;0.0;0.0;1.0481628829687977;1.048162883335246;1.048162883335246;1.0000000002079017;1.0000000005575118;1.0000000005575118;0.0061015719999999996;0.007808016000000006;0.007808016000000006;6101.571999999999;7808.016000000006;13909.588000000005
19;5012.067999999997;6556.479999999998;11568.547999999995;0.0;0.0;0.0;5.485983994660108;5.485983995661462;5.485983995661462;1.0000000000946583;1.0000000002771878;1.0000000002771878;0.005012067999999996;0.006556479999999997;0.006556479999999997;5012.067999999997;6556.479999999998;11568.547999999995
20;5883.360000000003;6908.504000000005;12791.864000000009;0.0;0.0;0.0;5.500197522182562;5.500197523073416;5.500197523073416;1.0000000001797185;1.000000000341686;1.000000000341686;0.005883360000000003;0.006908504000000005;0.006908504000000005;5883.360000000003;6908.504000000005;12791.864000000009
21;2221.7800000000043;433.20399999999995;2654.984000000004;0.0;0.0;0.0;3.4576988209850987;3.4576988209724786;3.4576988209850987;1.000000000003655;1.0000000000000053;1.000000000003655;0.0022217800000000044;0.00043320399999999997;0.0022217800000000044;2221.7800000000043;433.20399999999995;2654.984000000004
22;2186.22;367.796;2554.0159999999996;0.0;0.0;0.0;3.0332305787655858;3.0332305787552003;3.0332305787655858;1.0000000000034266;1.0000000000000027;1.0000000000034266;0.00218622;0.000367796;0.00218622;2186.22;367.796;2554.0159999999996
23;1902.8320000000012;381.47600000000085;2284.3080000000023;0.0;0.0;0.0;2.813805442206204;2.8138054422006795;2.813805442206204;1.0000000000019664;1.000000000000003;1.0000000000019664;0.0019028320000000012;0.00038147600000000087;0.0019028320000000012;1902.8320000000012;381.47600000000085;2284.3080000000023
24;1395.1680000000006;351.5240000000001;1746.6920000000007;0.0;0.0;0.0;2.071811987022336;2.071811987021163;2.071811987022336;1.0000000000005684;1.0000000000000022;1.0000000000005684;0.0013951680000000007;0.00035152400000000014;0.0013951680000000007;1395.1680000000006;351.5240000000001;1746.6920000000007
25;3403.3200000000006;921.3480000000006;4324.6680000000015;0.0;0.0;0.0;1.6991958111569403;1.6991958111229304;1.6991958111569403;1.0000000000201235;1.0000000000001081;1.0000000000201235;0.0034033200000000005;0.0009213480000000007;0.0034033200000000005;3403.3200000000006;921.3480000000006;4324.6680000000015
26;774.6799999999997;378.6520000000002;1153.3319999999999;0.0;0.0;0.0;1.9588947127576697;1.95889471275757;1.9588947127576697;1.000000000000054;1.000000000000003;1.000000000000054;0.0007746799999999997;0.0003786520000000002;0.0007746799999999997;774.6799999999997;378.6520000000002;1153.3319999999999
27;2449.0000000000005;1330.9999999999998;3780.0;0.0;0.0;0.0;2.903516134103413;2.9035161340891134;2.903516134103413;1.0000000000053957;1.0000000000004707;1.0000000000053957;0.0024490000000000007;0.0013309999999999997;0.0024490000000000007;2449.0000000000005;1330.9999999999998;3780.0
28;3226.9999999999995;2296.0000000000014;5523.000000000001;0.0;0.0;0.0;4.728080045085885;4.728080045028685;4.728080045085885;1.0000000000162663;1.0000000000041684;1.0000000000162663;0.0032269999999999994;0.002296000000000001;0.0032269999999999994;3226.9999999999995;2296.0000000000014;5523.000000000001
29;395.00000000000017;537.0;932.0000000000002;0.0;0.0;0.0;5.284578511831154;5.284578511831201;5.284578511831201;1.0000000000000036;1.0000000000000124;1.0000000000000124;0.00039500000000000017;0.000537;0.000537;395.00000000000017;537.0;932.0000000000002
32;6745.0;3050.396000000002;9795.396000000002;0.0;0.0;0.0;5.380203358251172;5.3802033566506555;5.380203358251172;1.0000000003104696;1.0000000000129872;1.0000000003104696;0.006745;0.003050396000000002;0.006745;6745.0;3050.396000000002;9795.396000000002
33;682.0000000000011;1643.6039999999998;2325.604000000001;0.0;0.0;0.0;7.646352676370487;7.646352676378609;7.646352676378609;1.0000000000000324;1.0000000000010947;1.0000000000010947;0.0006820000000000012;0.001643604;0.001643604;682.0000000000011;1643.6039999999998;2325.604000000001
101;1947.0000000000002;318.0000000000004;2265.0000000000005;0.0;0.0;0.0;100.65952471480563;99.38498691375574;100.65952471480563;1.0128334984375724;1.0000091325011573;1.0128334984375724;0.5408333333333334;0.08833333333333344;0.5408333333333334;1947.0000000000002;318.0000000000004;2265.0000000000005
102;584.3119999999997;384.80000000000007;969.1119999999997;0.0;0.0;0.0;93.25719418343401;93.24931272503568;93.25719418343401;1.0001041023367234;1.0000195803977396;1.0001041023367234;0.1623088888888888;0.10688888888888891;0.1623088888888888;584.3119999999997;384.80000000000007;969.1119999999997
103;403.6440000000003;351.60000000000025;755.2440000000006;0.0;0.0;0.0;126.27104574452616;126.26841215183919;126.27104574452616;1.0000491586836726;1.000028300995076;1.0000491586836726;0.13454800000000008;0.11720000000000008;0.13454800000000008;403.6440000000003;351.60000000000025;755.2440000000006
104;289.8680000000002;48.216000000000015;338.08400000000023;0.0;0.0;0.0;183.91640578443227;183.91400313982655;183.91640578443227;1.0000130739655508;1.000000010008545;1.0000130739655508;0.09662266666666675;0.016072000000000006;0.09662266666666675;289.8680000000002;48.216000000000015;338.08400000000023
105;1600.7200000000018;226.68800000000007;1827.408000000002;0.0;0.0;0.0;49.94022483517048;49.3405785791116;49.94022483517048;1.0121581563796538;1.000004890129537;1.0121581563796538;0.5335733333333339;0.0755626666666667;0.5335733333333339;1600.7200000000018;226.68800000000007;1827.408000000002
106;507.60000000000025;134.68800000000002;642.2880000000002;0.0;0.0;0.0;92.91323416874249;92.90186945030898;92.91323416874249;1.0001229398542375;1.0000006094272318;1.0001229398542375;0.16920000000000007;0.044896000000000005;0.16920000000000007;507.60000000000025;134.68800000000002;642.2880000000002
107;1828.72;1809.772;3638.492;0.0;0.0;0.0;86.72757816459048;86.69258108737426;86.72757816459048;1.0099878063755985;1.0095802471885993;1.0099878063755985;0.5079777777777778;0.5027144444444445;0.5079777777777778;1828.72;1809.772;3638.492
108;968.8400000000007;604.9640000000005;1573.8040000000012;0.0;0.0;0.0;38.14794782799917;37.32495218268226;38.14794782799917;1.0261056473385415;1.003968664159203;1.0261056473385415;0.6458933333333338;0.4033093333333337;0.6458933333333338;968.8400000000007;604.9640000000005;1573.8040000000012
109;938.1520000000004;911.768;1849.9200000000005;0.0;0.0;0.0;142.64653433323608;142.4781352811957;142.64653433323608;1.0110686351861746;1.0098750345108483;1.0110686351861746;0.5211955555555557;0.5065377777777778;0.5211955555555557;938.1520000000004;911.768;1849.9200000000005
111;0.0;0.0;0.0;0.0;0.0;0.0;51.37544711627724;51.37544711627724;51.37544711627724;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
112;958.0000000000007;145.00000000000009;1103.0000000000007;0.0;0.0;0.0;202.06871705110692;199.66690711911045;202.06871705110692;1.012035476104481;1.0000063164526891;1.012035476104481;0.5322222222222226;0.0805555555555556;0.5322222222222226;958.0000000000007;145.00000000000009;1103.0000000000007
113;1211.0159999999998;221.07199999999997;1432.0879999999997;0.0;0.0;0.0;61.06622692038444;59.24747600949584;61.06622692038444;1.0307327032884257;1.0000341299930333;1.0307327032884257;0.6727866666666665;0.12281777777777776;0.6727866666666665;1211.0159999999998;221.07199999999997;1432.0879999999997
114;3188.984000000001;743.9280000000006;3932.912000000001;0.0;0.0;0.0;126.21710437865461;51.16247164353406;126.21710437865461;2.4777827736923372;1.0043764790987408;2.4777827736923372;1.7716577777777782;0.4132933333333336;1.7716577777777782;3188.984000000001;743.9280000000006;3932.912000000001
115;263.0800000000001;1692.568000000001;1955.648000000001;0.0;0.0;0.0;29.07364449507621;29.213371546727753;29.213371546727753;1.0000028067428597;1.0048087898335971;1.0048087898335971;0.06577000000000002;0.42314200000000024;0.42314200000000024;263.0800000000001;1692.568000000001;1955.648000000001
116;263.0800000000001;1692.568000000001;1955.648000000001;0.0;0.0;0.0;55.8459402614327;56.114334152702845;56.114334152702845;1.0000028067428597;1.0048087898335971;1.0048087898335971;0.06577000000000002;0.42314200000000024;0.42314200000000024;263.0800000000001;1692.568000000001;1955.648000000001
117;263.0800000000001;1692.568000000001;1955.648000000001;0.0;0.0;0.0;75.54783327603852;75.91091386623116;75.91091386623116;1.0000028067428597;1.0048087898335971;1.0048087898335971;0.06577000000000002;0.42314200000000024;0.42314200000000024;263.0800000000001;1692.568000000001;1955.648000000001
118;180.66800000000018;33.20000000000003;213.86800000000022;0.0;0.0;0.0;61.84231981883046;61.842197942158826;61.84231981883046;1.0000019730186385;1.000000002249876;1.0000019730186385;0.06022266666666672;0.011066666666666678;0.06022266666666672;180.66800000000018;33.20000000000003;213.86800000000022
119;180.66800000000018;33.20000000000003;213.86800000000022;0.0;0.0;0.0;120.60449510209848;120.60391482273651;120.60449510209848;1.0000048169400353;1.0000000054928613;1.0000048169400353;0.0752783333333334;0.013833333333333347;0.0752783333333334;180.66800000000018;33.20000000000003;213.86800000000022
120;4182.076000000003;853.1680000000008;5035.244000000003;0.0;0.0;0.0;117.66606348354922;49.49610496049894;117.66606348354922;2.3829738738178348;1.0023954357332987;2.3829738738178348;1.742531666666668;0.355486666666667;1.742531666666668;4182.076000000003;853.1680000000008;5035.244000000003
121;1129.720000000001;558.8680000000005;1688.5880000000016;0.0;0.0;0.0;183.63150571858466;165.43448215559903;183.63150571858466;1.1178282816778464;1.0070567258848206;1.1178282816778464;0.9414333333333341;0.46572333333333377;0.9414333333333341;1129.720000000001;558.8680000000005;1688.5880000000016
122;91.932;1906.0520000000013;1997.9840000000013;0.0;0.0;0.0;65.87085524990849;67.48089320209732;67.48089320209732;1.0000001322735697;1.0244424772081533;1.0244424772081533;0.030644;0.6353506666666671;0.6353506666666671;91.932;1906.0520000000013;1997.9840000000013
123;1878.1320000000012;565.4560000000004;2443.5880000000016;0.0;0.0;0.0;116.65089911366303;61.847348720221376;116.65089911366303;1.9000584722173122;1.0073953978317094;1.9000584722173122;1.565110000000001;0.47121333333333365;1.565110000000001;1878.1320000000012;565.4560000000004;2443.5880000000016
124;120.16400000000004;27.959999999999997;148.12400000000005;0.0;0.0;0.0;62.04188108552989;62.04094811634818;62.04188108552989;1.0000150821682532;1.0000000442094328;1.0000150821682532;0.10013666666666671;0.023299999999999998;0.10013666666666671;120.16400000000004;27.959999999999997;148.12400000000005
